Section,Item,Checked,Original Section,Last Updated
"CANNOT TRAVEL WITHOUT","Photo ID","No","CANNOT TRAVEL WITHOUT","2026-04-22T08:45:07.383Z"
"CANNOT TRAVEL WITHOUT","Cell phone","No","CANNOT TRAVEL WITHOUT","2026-04-22T08:45:07.383Z"
"CANNOT TRAVEL WITHOUT","Cell phone charger","No","CANNOT TRAVEL WITHOUT","2026-04-22T08:49:14.659Z"
"CANNOT TRAVEL WITHOUT","Laptop power cord","No","CANNOT TRAVEL WITHOUT","2026-04-22T08:45:07.383Z"
"CANNOT TRAVEL WITHOUT","Company badge","No","CANNOT TRAVEL WITHOUT","2026-04-22T09:06:51.171Z"
"CANNOT TRAVEL WITHOUT","Mouse","No","CANNOT TRAVEL WITHOUT","2026-04-22T09:06:13.376Z"
"CANNOT TRAVEL WITHOUT","Test Item1","No","CANNOT TRAVEL WITHOUT","2026-04-22T09:06:16.869Z"
"MUST HAVE","Motidom","No","MUST HAVE","2026-04-22T08:45:19.326Z"
"MUST HAVE","Tylenol","No","MUST HAVE","2026-04-22T08:45:07.383Z"
"MUST HAVE","Blood pressure medicines","No","MUST HAVE","2026-04-22T09:06:20.089Z"
"MUST HAVE","Eye Pressure Eye Drop","No","MUST HAVE","2026-04-22T09:06:55.071Z"
"MUST HAVE","Sleep aid","No","MUST HAVE","2026-04-22T09:07:00.737Z"
"FILLABLES","Toothpaste","No","FILLABLES","2026-04-22T09:07:28.265Z"
"CLOTHING","Belt","No","CLOTHING","2026-04-22T08:45:07.384Z"
"CLOTHING","Salesforce official Shirt","No","CLOTHING","2026-04-22T08:45:07.384Z"
"CLOTHING","Cap","No","CLOTHING","2026-04-22T08:45:07.384Z"
"CLOTHING","Shoes","No","CLOTHING","2026-04-22T08:45:07.384Z"
"CLOTHING","Shirts","No","CLOTHING","2026-04-22T08:45:07.384Z"
"CLOTHING","Pants","No","CLOTHING","2026-04-22T08:45:07.384Z"
"CLOTHING","Underwear","No","CLOTHING","2026-04-22T08:45:07.384Z"
"CLOTHING","Undershirts","No","CLOTHING","2026-04-22T08:45:07.384Z"
"CLOTHING","Socks","No","CLOTHING","2026-04-22T08:45:07.384Z"
"SHOULD HAVE","Air ticket (printed or digital)","No","SHOULD HAVE","2026-04-22T08:45:07.384Z"
"SHOULD HAVE","Directions / itinerary","No","SHOULD HAVE","2026-04-22T08:45:07.384Z"
"SHOULD HAVE","Water bottle","No","SHOULD HAVE","2026-04-22T08:45:07.384Z"
"SHOULD HAVE","Shorts","No","SHOULD HAVE","2026-04-22T08:45:07.384Z"
"SHOULD HAVE","Light jacket","No","SHOULD HAVE","2026-04-22T08:45:07.384Z"
"SHOULD HAVE","Power Bank","No","SHOULD HAVE","2026-04-22T08:45:07.384Z"
"SHOULD HAVE","Power extension cord","No","SHOULD HAVE","2026-04-22T08:45:07.384Z"
"CAN HAVE (OPTIONAL)","Dry milk","No","CAN HAVE (OPTIONAL)","2026-04-22T08:45:07.384Z"
"CAN HAVE (OPTIONAL)","Toothbrush","No","CAN HAVE (OPTIONAL)","2026-04-22T08:45:07.384Z"
"CAN HAVE (OPTIONAL)","Floss","No","CAN HAVE (OPTIONAL)","2026-04-22T08:45:07.384Z"
"CAN HAVE (OPTIONAL)","Comb","No","CAN HAVE (OPTIONAL)","2026-04-22T08:45:07.384Z"
"CAN HAVE (OPTIONAL)","Some cash","No","CAN HAVE (OPTIONAL)","2026-04-22T08:45:07.384Z"
"CAN HAVE (OPTIONAL)","Chapstick","No","CAN HAVE (OPTIONAL)","2026-04-22T08:45:07.384Z"
"CAN HAVE (OPTIONAL)","Nail clipper","No","CAN HAVE (OPTIONAL)","2026-04-22T08:45:07.384Z"
"DONE","Charge your watch","Yes","FILLABLES","2026-04-22T09:07:29.852Z"
"DONE","Cotton swabs (Q-tips)","Yes","FILLABLES","2026-04-22T09:07:23.542Z"
"DONE","Electric kettle","Yes","CAN HAVE (OPTIONAL)","2026-04-22T09:08:35.039Z"
"DONE","Hair oil","Yes","FILLABLES","2026-04-22T09:07:30.348Z"
"DONE","Neha Indian Cuisine","Yes","CAN HAVE (OPTIONAL)","2026-04-22T09:08:49.308Z"
"DONE","Original iPhone earbuds","Yes","FILLABLES","2026-04-22T09:07:30.862Z"
"DONE","Spare Eye Glasses","Yes","FILLABLES","2026-04-22T09:07:24.482Z"
"DONE","Tea bags","Yes","FILLABLES","2026-04-22T09:07:22.989Z"
